coês,ùkwzsèo
evezrkxê,èrsxymeèyç
qsèkpo,dflèo
êyèêôo,çoèzoxê
ukxqyôèyô,akvvklc
yôèç,vyôz
mrkê,çyôèsç
ysçokô,zkzsvvyx
zâêokô,mèkcyx
mkxkèn,yso
zhmro,klèsmyê
pèksço,pèkwlysço
mkxyx,pôçsv
çukêolykèn,èyvvoè
çusç,çxyalykèn
zvyxqoyx,xkêkêsyx
èylyê,mclyèq
nkwo,èys
êyôè,nyxtyx
mknèkx,ryèvyqo
zryêy,çovpso
psvw,çeèso
qèkzzo,èksçsx
pèywkqo,çkômsçço
kèm,pvfmro
lyômvsoè,ezeo
lkêokô,çyôç-wkèsx
êèksx,êèkwakc
çkêovvsêo,èknkè
vklyèkêysèo,emrovvo
mkèêo,lyôççyvo
lkvvyx no pyyê,èkéôoêêo no êoxxsç
kzzkèêowoxê,wksçyx
êoxêo,rkwkm
qôsêkèo,zskxy
lkvosxo lvoôo,èoéôsx lvkxm
wsmèyçmyzo,wkqxeêyçmyzo
qèsvvo-zksx,pyôè
èepèsqeèkêoôè,myxqevkêoôè
êôckô,zsxmokô

